"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","limit_to","perim_defender","rim_protector","oreb","dreb"
"Zeke Nnaji","NBA","F","DEN",0.482954545454545,0.545454545454545,0.272727272727273,0.0340909090909091,0.232954545454545,0.0795454545454545,0.198863636363636,0.840909090909091,0.232954545454545
"Tari Eason","NBA","F","HOU",0.267045454545455,0.710227272727273,0.704545454545455,0.147727272727273,0.0284090909090909,0.607954545454545,0.505681818181818,0.948863636363636,0.75
"Nemanja Bjelica","NBA","F","GSWMIASAC",0.494318181818182,0.471590909090909,0.613636363636364,0.920454545454545,0.727272727272727,0.835227272727273,0.75,0.698863636363636,0.852272727272727
"Timothé Luwawu-Cabarrot","NBA","F","ATLBRK",0.875,0.130681818181818,0.4375,0.465909090909091,0.670454545454545,0.153409090909091,0.0340909090909091,0.176136363636364,0.0568181818181818
"Solomon Hill","NBA","F","ATL",0.840909090909091,0.0795454545454545,0.0170454545454545,0.647727272727273,0.823863636363636,0.761363636363636,0.482954545454545,0.204545454545455,0.181818181818182
"Kevin Knox","NBA","F","ATLDETNYKPOR",0.8125,0.215909090909091,0.613636363636364,0.0454545454545455,0.147727272727273,0.181818181818182,0.113636363636364,0.346590909090909,0.460227272727273
"Maurice Harkless","NBA","F-G","MIASAC",0.443181818181818,0.289772727272727,0.0511363636363636,0.4375,0.448863636363636,0.704545454545455,0.693181818181818,0.0397727272727273,0.159090909090909
"Wenyen Gabriel","NBA","F","BRKLACLALNOP",0.170454545454545,0.875,0.318181818181818,0.142045454545455,0.107954545454545,0.340909090909091,0.5625,0.9375,0.602272727272727
"Anthony Lamb","NBA","F","GSWHOUSAS",0.784090909090909,0.159090909090909,0.255681818181818,0.744318181818182,0.602272727272727,0.306818181818182,0.352272727272727,0.653409090909091,0.3125
"Isaiah Livers","NBA","F","DET",0.931818181818182,0.0738636363636364,0.0965909090909091,0.403409090909091,0.551136363636364,0.397727272727273,0.4375,0.159090909090909,0.102272727272727
"Paul Millsap","NBA","F","BRKDENPHI",0.335227272727273,0.573863636363636,0.625,0.698863636363636,0.693181818181818,0.784090909090909,0.829545454545455,0.840909090909091,0.738636363636364
"Jeremy Sochan","NBA","F","SAS",0.130681818181818,0.732954545454545,0.755681818181818,0.801136363636364,0.329545454545455,0.136363636363636,0.0965909090909091,0.778409090909091,0.482954545454545
"Sam Hauser","NBA","F","BOS",1,0,0.295454545454545,0.511363636363636,0.926136363636364,0.596590909090909,0.573863636363636,0.1875,0.380681818181818
"Eric Paschall","NBA","F","GSWUTA",0.340909090909091,0.806818181818182,0.829545454545455,0.306818181818182,0.301136363636364,0.0738636363636364,0.0738636363636364,0.477272727272727,0.232954545454545
"AJ Griffin","NBA","F","ATL",0.789772727272727,0.221590909090909,0.602272727272727,0.181818181818182,0.704545454545455,0.346590909090909,0.181818181818182,0.159090909090909,0.0113636363636364
"Kessler Edwards","NBA","F","BRKSAC",0.738636363636364,0.170454545454545,0.204545454545455,0.215909090909091,0.25,0.278409090909091,0.323863636363636,0.647727272727273,0.232954545454545
"Jericho Sims","NBA","F","NYK",0.0113636363636364,0.9375,0.00568181818181818,0.573863636363636,0.346590909090909,0.664772727272727,0.903409090909091,0.971590909090909,0.829545454545455
