"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb","Dim.1","Dim.2","Dim.3","Dim.4"
"Kevin Huerter","NBA","G","ATLSAC",0.789272030651341,0.210727969348659,0.46360153256705,0.478927203065134,0.578544061302682,0.310344827586207,0.35632183908046,-1.37412490174117,0.0969488150301685,0.778195999177668,0.216288542054059
"Donovan Mitchell","NBA","G","CLEUTA",0.647509578544061,0.609195402298851,0.992337164750958,0.616858237547893,0.704980842911877,0.685823754789272,0.383141762452107,0.678399397530247,-0.657676666484662,0.20056011196443,0.632262749614047
"Devin Booker","NBA","G","PHO",0.275862068965517,0.85823754789272,0.984674329501916,0.559386973180077,0.413793103448276,0.386973180076628,0.681992337164751,1.43029173267908,-1.52034661568065,-0.649957975752986,0.732439604525807
"Keldon Johnson","NBA","G","SAS",0.302681992337165,0.773946360153257,0.766283524904215,0.0919540229885057,0.103448275862069,0.789272030651341,0.911877394636015,0.88796466718586,-0.165516402385202,-2.77252910692671,0.767446145582963
"CJ McCollum","NBA","G","NOPPOR",0.659003831417625,0.505747126436782,0.915708812260536,0.731800766283525,0.283524904214559,0.509578544061303,0.501915708812261,0.0500880419270371,-1.32034536667832,-0.0936698607535892,0.904373266129774
"Gary Trent Jr.","NBA","G","PORTOR",0.762452107279693,0.398467432950192,0.697318007662835,0.0153256704980843,0.60536398467433,0.103448275862069,0.0651340996168582,-1.85454873895398,-0.727739244423561,-0.0146998860511111,-0.470455287676002
"Tyrese Haliburton","NBA","G","INDSAC",0.609195402298851,0.501915708812261,0.620689655172414,0.977011494252874,0.731800766283525,0.452107279693487,0.260536398467433,0.411860556455068,-0.588705680244623,1.70246228007884,-0.0566944632000589
"Stephen Curry","NBA","G","GSW",0.911877394636015,0.386973180076628,0.984674329501916,0.823754789272031,0.724137931034483,0.268199233716475,0.881226053639847,0.0309089532843424,-0.718217837314306,1.19311548571717,2.61349551076282
"Jrue Holiday","NBA","G","MIL",0.421455938697318,0.632183908045977,0.804597701149425,0.896551724137931,0.796934865900383,0.808429118773946,0.46360153256705,1.66690921417611,-0.174188236028792,0.767572532196286,0.334054085913885
"Bojan Bogdanović","NBA","G-F","DETUTA",0.597701149425287,0.670498084291188,0.831417624521073,0.0459770114942529,0.114942528735632,0.509578544061303,0.517241379310345,-0.539247548218317,-0.931072146388565,-2.04925464344314,0.333286074201772
