"player","class","pos","team","x3_p_s","slasher","ball_dominant","playmaker","perim_defender","oreb","dreb"
"Devin Vassell","NBA","G-F","SAS",0.616858237547893,0.383141762452107,0.559386973180077,0.272030651340996,0.670498084291188,0.310344827586207,0.823754789272031
"Talen Horton-Tucker","NBA","G-F","LALUTA",0.10727969348659,0.812260536398467,0.724137931034483,0.659003831417625,0.773946360153257,0.597701149425287,0.659003831417625
"Patrick Beverley","NBA","G","CHILACLALMIN",0.666666666666667,0.32183908045977,0.114942528735632,0.689655172413793,0.911877394636015,0.781609195402299,0.674329501915709
"Joe Harris","NBA","G","BRK",0.973180076628352,0.0574712643678161,0.245210727969349,0.187739463601533,0.245210727969349,0.360153256704981,0.333333333333333
"Evan Fournier","NBA","G-F","BOSNYKORL",0.885057471264368,0.21455938697318,0.670498084291188,0.363984674329502,0.551724137931034,0.0613026819923372,0.14176245210728
"Josh Giddey","NBA","G","OKC",0.0804597701149425,0.716475095785441,0.804597701149425,0.89272030651341,0.567049808429119,0.96551724137931,0.984674329501916
"Gabe Vincent","NBA","G","MIA",0.800766283524904,0.122605363984674,0.432950191570881,0.578544061302682,0.639846743295019,0.210727969348659,0.0498084291187739
"Gary Harris","NBA","G","DENORL",0.754789272030651,0.298850574712644,0.24904214559387,0.241379310344828,0.540229885057471,0.386973180076628,0.00383141762452107
"T.J. McConnell","NBA","G","IND",0.0459770114942529,0.885057471264368,0.363984674329502,0.988505747126437,0.969348659003831,0.735632183908046,0.697318007662835
"Alex Caruso","NBA","G","CHILAL",0.448275862068966,0.559386973180077,0.0804597701149425,0.708812260536398,0.984674329501916,0.701149425287356,0.567049808429119
"Corey Kispert","NBA","G-F","WAS",0.808429118773946,0.126436781609195,0.168582375478927,0.0766283524904215,0.0613026819923372,0.547892720306513,0.168582375478927
"Damion Lee","NBA","G","GSWPHO",0.747126436781609,0.329501915708812,0.233716475095785,0.199233716475096,0.636015325670498,0.547892720306513,0.842911877394636
"Jamal Murray","NBA","G","DEN",0.567049808429119,0.590038314176245,0.877394636015326,0.735632183908046,0.325670498084291,0.578544061302682,0.383141762452107
"Kenrich Williams","NBA","G-F","OKC",0.306513409961686,0.597701149425287,0.206896551724138,0.567049808429119,0.839080459770115,0.984674329501916,0.816091954022989
"Landry Shamet","NBA","G","BRKPHO",0.923371647509579,0.114942528735632,0.386973180076628,0.314176245210728,0.291187739463602,0.0613026819923372,0.0498084291187739
"Collin Sexton","NBA","G","CLEUTA",0.134099616858238,0.973180076628352,0.9272030651341,0.521072796934866,0.118773946360153,0.735632183908046,0.0153256704980843
"Théo Maledon","NBA","G","CHOOKC",0.39463601532567,0.586206896551724,0.540229885057471,0.697318007662835,0.478927203065134,0.210727969348659,0.64367816091954
"Davion Mitchell","NBA","G","SAC",0.348659003831418,0.402298850574713,0.432950191570881,0.727969348659004,0.218390804597701,0.114942528735632,0.0229885057471264
"Hamidou Diallo","NBA","G","DETOKC",0.0229885057471264,0.988505747126437,0.716475095785441,0.134099616858238,0.850574712643678,0.938697318007663,0.954022988505747
"Eric Bledsoe","NBA","G","LACNOP",0.371647509578544,0.647509578544061,0.559386973180077,0.693486590038314,0.647509578544061,0.268199233716475,0.501915708812261
"Troy Brown Jr.","NBA","G-F","CHILALWAS",0.67816091954023,0.187739463601533,0.0459770114942529,0.222222222222222,0.701149425287356,0.831417624521073,0.869731800766284
"Garrison Mathews","NBA","G","ATLHOUWAS",0.89272030651341,0.137931034482759,0.137931034482759,0.0268199233716475,0.402298850574713,0.310344827586207,0.187739463601533
"Jevon Carter","NBA","G","BRKMILPHO",0.915708812260536,0.0842911877394636,0.206896551724138,0.532567049808429,0.81992337164751,0.386973180076628,0.318007662835249
"Danny Green","NBA","G-F","CLEMEMPHI",0.988505747126437,0.0191570881226054,0.130268199233716,0.191570881226054,0.934865900383142,0.685823754789272,0.409961685823755
"Tre Jones","NBA","G","SAS",0.0344827586206897,0.934865900383142,0.421455938697318,0.9272030651341,0.521072796934866,0.666666666666667,0.375478927203065
"John Konchar","NBA","G","MEM",0.478927203065134,0.367816091954023,0.0191570881226054,0.42911877394636,0.946360153256705,0.950191570881226,0.96551724137931
"Nickeil Alexander-Walker","NBA","G","MINNOPUTA",0.628352490421456,0.371647509578544,0.735632183908046,0.444444444444444,0.574712643678161,0.386973180076628,0.609195402298851
"Austin Rivers","NBA","G","DENMINNYK",0.724137931034483,0.145593869731801,0.0613026819923372,0.386973180076628,0.655172413793103,0.0421455938697318,0.0804597701149425
"Cameron Payne","NBA","G","PHO",0.498084291187739,0.532567049808429,0.78544061302682,0.885057471264368,0.724137931034483,0.210727969348659,0.64367816091954
"Ricky Rubio","NBA","G","CLEMIN",0.329501915708812,0.662835249042146,0.513409961685824,0.96551724137931,0.900383141762452,0.210727969348659,0.71264367816092
"Raul Neto","NBA","G","CLEWAS",0.153256704980843,0.762452107279693,0.337164750957854,0.701149425287356,0.816091954022989,0.210727969348659,0.206896551724138
"Austin Reaves","NBA","G","LAL",0.295019157088123,0.888888888888889,0.18007662835249,0.509578544061303,0.455938697318008,0.578544061302682,0.272030651340996
"Klay Thompson","NBA","G-F","GSW",0.9272030651341,0.18007662835249,0.923371647509579,0.0727969348659004,0.053639846743295,0.310344827586207,0.590038314176245
"Josh Okogie","NBA","G","MINPHO",0.233716475095785,0.877394636015326,0.187739463601533,0.229885057471264,0.831417624521073,0.980842911877395,0.295019157088123
"Aaron Nesmith","NBA","G-F","BOSIND",0.601532567049808,0.340996168582375,0.306513409961686,0.0459770114942529,0.459770114942529,0.808429118773946,0.804597701149425
"Aaron Holiday","NBA","G","ATLINDPHOWAS",0.406130268199234,0.620689655172414,0.406130268199234,0.57088122605364,0.697318007662835,0.452107279693487,0.0651340996168582
"R.J. Hampton","NBA","G","DENDETORL",0.314176245210728,0.735632183908046,0.494252873563218,0.482758620689655,0.413793103448276,0.547892720306513,0.793103448275862
"Josh Green","NBA","G-F","DAL",0.24904214559387,0.674329501915709,0.153256704980843,0.348659003831418,0.71264367816092,0.919540229885057,0.409961685823755
"Jaylen Nowell","NBA","G","MIN",0.367816091954023,0.578544061302682,0.766283524904215,0.452107279693487,0.283524904214559,0.636015325670498,0.524904214559387
"Ben Simmons","NBA","G-F","BRKPHI",0,1,0.440613026819923,0.957854406130268,0.961685823754789,0.919540229885057,0.980842911877395
"Lonzo Ball","NBA","G","CHINOP",0.931034482758621,0.0766283524904215,0.551724137931034,0.796934865900383,0.931034482758621,0.547892720306513,0.816091954022989
"Wesley Matthews","NBA","G","LALMIL",0.823754789272031,0.0613026819923372,0.0229885057471264,0.153256704980843,0.766283524904215,0.701149425287356,0.0421455938697318
"Payton Pritchard","NBA","G","BOS",0.904214559386973,0.0996168582375479,0.440613026819923,0.555555555555556,0.448275862068966,0.754789272030651,0.409961685823755
"Bryn Forbes","NBA","G","DENMILMINSAS",0.908045977011494,0.199233716475096,0.586206896551724,0.0114942528735632,0.0268199233716475,0.0268199233716475,0.0229885057471264
"Quentin Grimes","NBA","G","NYK",0.888888888888889,0.0804597701149425,0.187739463601533,0.306513409961686,0.674329501915709,0.597701149425287,0.226053639846743
"Cody Martin","NBA","G-F","CHO",0.18007662835249,0.727969348659004,0.0421455938697318,0.547892720306513,0.888888888888889,0.931034482758621,0.681992337164751
"Furkan Korkmaz","NBA","G","PHI",0.697318007662835,0.310344827586207,0.513409961685824,0.325670498084291,0.421455938697318,0.268199233716475,0.46360153256705
"Garrett Temple","NBA","G","CHINOP",0.60536398467433,0.222222222222222,0.114942528735632,0.375478927203065,0.770114942528736,0.547892720306513,0.318007662835249
"George Hill","NBA","G","INDMILOKCPHI",0.352490421455939,0.563218390804598,0.0613026819923372,0.601532567049808,0.781609195402299,0.597701149425287,0.118773946360153
"Goran Dragić","NBA","G","BRKCHIMIAMILTOR",0.475095785440613,0.53639846743295,0.724137931034483,0.808429118773946,0.145593869731801,0.452107279693487,0.383141762452107
"Facundo Campazzo","NBA","G","DALDEN",0.674329501915709,0.268199233716475,0.153256704980843,0.842911877394636,0.96551724137931,0.310344827586207,0.111111111111111
"Kendrick Nunn","NBA","G","LALMIAWAS",0.662835249042146,0.272030651340996,0.708812260536398,0.367816091954023,0.363984674329502,0.153256704980843,0.375478927203065
"Amir Coffey","NBA","G","LAC",0.482758620689655,0.636015325670498,0.233716475095785,0.360153256704981,0.471264367816092,0.452107279693487,0.260536398467433
"Jalen Suggs","NBA","G","ORL",0.176245210727969,0.724137931034483,0.781609195402299,0.674329501915709,0.827586206896552,0.766283524904215,0.383141762452107
"Tre Mann","NBA","G","OKC",0.624521072796935,0.337164750957854,0.681992337164751,0.264367816091954,0.310344827586207,0.386973180076628,0.524904214559387
"Jordan McLaughlin","NBA","G","MIN",0.325670498084291,0.475095785440613,0.053639846743295,0.938697318007663,0.942528735632184,0.547892720306513,0.14176245210728
"Svi Mykhailiuk","NBA","G-F","CHODETNYKOKCTOR",0.766283524904215,0.183908045977011,0.528735632183908,0.344827586206897,0.501915708812261,0.547892720306513,0.440613026819923
"Aaron Wiggins","NBA","G","OKC",0.210727969348659,0.67816091954023,0.206896551724138,0.21455938697318,0.35632183908046,0.911877394636015,0.524904214559387
"Cade Cunningham","NBA","G","DET",0.252873563218391,0.651340996168582,0.931034482758621,0.854406130268199,0.478927203065134,0.666666666666667,0.923371647509579
"Danuel House Jr.","NBA","G","HOUNYKPHIUTA",0.586206896551724,0.444444444444444,0.203065134099617,0.264367816091954,0.409961685823755,0.360153256704981,0.739463601532567
"Kemba Walker","NBA","G","BOSDALNYK",0.708812260536398,0.42911877394636,0.823754789272031,0.720306513409962,0.440613026819923,0.114942528735632,0.609195402298851
"Terence Davis","NBA","G","SACTOR",0.835249042145594,0.157088122605364,0.766283524904215,0.14176245210728,0.57088122605364,0.452107279693487,0.869731800766284
"Dennis Smith Jr.","NBA","G","CHODETNYKPOR",0.0498084291187739,0.888888888888889,0.440613026819923,0.877394636015326,0.973180076628352,0.578544061302682,0.517241379310345
