"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","spread","ATS_Margin","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
2022-11-18,20221118,"Home","Jacksonville State","W",104,62,"OOC",42,"Jacksonville State 20221118",241,"Other",-21,21,69,149.7,89.2,104,62,69.7,45.7,18.7,54.3,31.8,44.4,37.5,20.1,23.1,38.9,"Alabama"
2022-11-24,20221124,"Away","Michigan State","W",81,70,"OOC",11,"Michigan State 20221124",33,"NET Top 50",-5,6,72,112.3,97,81,70,36.5,34.8,13.9,28.2,38.1,22.6,28.6,15.2,32.6,40.3,"Alabama"
2022-11-25,20221125,"Away","Connecticut","L",67,82,"OOC",-15,"Connecticut 20221125",8,"NET Top 50",-1,-16,74,91,111.4,67,82,32,37.5,28.5,29,50,40,37.5,16.3,27.8,40,"Alabama"
2022-11-27,20221127,"Away","North Carolina","W",103,101,"OOC",2,"North Carolina 20221127",46,"NET Top 50",-1,1,67,101.7,99.8,103,101,42.2,42.1,21.7,36.2,23.3,25.3,30.4,17.8,31.5,22,"Alabama"
2022-12-03,20221203,"Home","South Dakota State","W",78,65,"OOC",13,"South Dakota State 20221203",155,"Other",-19,-6,70,112,93.3,78,65,58.8,32.5,14.3,34.1,22.1,32.8,30,15.8,21.1,18,"Alabama"
2022-12-10,20221210,"Away","Houston","W",71,65,"OOC",6,"Houston 20221210",1,"NET Top 50",8,14,72,98.8,90.5,71,65,42.6,30.4,20.9,31.6,59.3,20.3,23.1,13.9,28.9,34.4,"Alabama"
2022-12-13,20221213,"Home","Memphis","W",91,88,"OOC",3,"Memphis 20221213",23,"NET Top 50",-7,-4,83,109.1,105.5,91,88,50,37,22.8,30.3,74.1,15.2,8.3,12,33.3,31.6,"Alabama"
2022-12-17,20221217,"Away","Gonzaga","L",90,100,"OOC",-10,"Gonzaga 20221217",6,"NET Top 50",-1,-11,83,108.8,120.9,90,100,41.7,32,25.4,27.3,40,24.3,41.2,10.9,17.6,27.1,"Alabama"
2022-12-20,20221220,"Home","Jackson St.","W",84,64,"OOC",20,"Jackson St. 20221220",NA,NA,-29,-9,79,106,80.8,84,64,42.9,25.9,21.4,33.3,41.3,28.8,31.6,22.7,26.7,22.7,"Alabama"
2022-12-28,20221228,"Away","Mississippi State","W",78,67,"SEC",11,"Mississippi State 20221228",49,"NET Top 50",NA,NA,76,102.2,87.8,78,67,56.1,37.5,24.9,22.9,31.6,43.6,37.5,19.6,25,65.5,"Alabama"
